Topflight,Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Club_member,Any_cc_miles_12mo,Phone_sale
0,78629,0,36679,25,0,0,0,1,No
1,143566,0,5000,5,1500,3,0,0,No
1,185549,0,110859,39,2950,16,1,1,No
0,16796,0,2875,16,0,0,0,0,No
0,57346,0,5560,23,0,0,0,1,No
0,102062,0,44247,16,0,0,0,1,No
0,22324,0,1375,4,0,0,0,0,No
0,64824,0,20184,13,0,0,1,1,No
1,25076,1182,57203,14,0,0,1,1,Yes
0,8053,0,0,0,0,0,0,0,No
1,35119,0,0,0,0,0,0,0,No
1,28667,0,3861,7,2050,5,0,1,Yes
0,34327,0,0,0,0,0,0,0,No
1,3734,0,61096,18,150,2,0,1,Yes
1,96627,1182,49059,26,2300,9,0,1,Yes
0,43498,0,0,0,0,0,0,0,No
0,84674,0,46335,14,50,1,0,1,No
0,15098,0,32917,26,550,3,0,1,No
1,181019,0,18415,15,0,0,0,1,No
1,298911,0,8550,11,2550,8,1,0,No
0,124198,0,66330,23,4833,10,0,1,No
0,56906,0,2015,13,0,0,1,1,No
0,295638,0,5422,20,818,2,0,1,No
0,67018,0,23260,25,0,0,0,1,No
0,143967,0,7346,11,0,0,0,1,No
1,969559,0,2500,3,1000,2,1,0,Yes
0,122705,0,24222,15,0,0,0,1,Yes
0,16583,0,2625,7,0,0,0,0,No
0,77540,0,1000,1,0,0,0,0,No
1,205126,0,126630,45,2250,10,1,1,No
1,81974,0,37266,18,1050,3,0,1,No
0,47258,0,24768,19,0,0,1,1,No
0,77699,0,42775,13,0,0,0,1,No
1,133954,500,37670,18,1500,3,0,1,Yes
1,602064,0,194753,26,2250,10,0,1,No
1,213150,0,56308,41,5200,14,0,1,No
1,48333,0,10123,14,0,0,0,1,No
0,142175,0,37461,22,0,0,0,1,No
0,17469,0,0,0,0,0,0,0,No
0,19823,0,1095,3,335,1,1,0,Yes
1,145074,0,8000,4,0,0,1,0,No
1,101101,0,10850,11,1850,6,0,0,No
0,125948,0,15155,15,0,0,0,1,Yes
1,259484,1776,19172,26,7172,23,0,0,No
0,129298,0,29099,15,0,0,0,1,No
1,103302,0,53552,22,700,3,1,1,No
0,160447,0,8578,25,0,0,0,1,No
0,15472,0,3500,14,0,0,0,0,No
0,39628,0,0,0,0,0,0,0,No
0,6112,0,0,0,0,0,0,0,No
0,31769,0,450,2,450,2,0,0,No
0,126787,0,35021,17,0,0,0,1,No
0,41547,0,16857,17,0,0,0,1,No
1,100640,0,7600,8,1600,5,0,0,No
0,18707,0,100,1,0,0,0,0,No
0,50593,0,58208,17,1500,2,1,1,No
0,84631,0,20415,17,0,0,1,1,No
0,24868,0,205,5,0,0,0,0,No
0,77097,0,42403,22,1718,4,0,1,No
1,930410,0,211284,18,2250,6,1,1,No
0,298121,0,60808,20,500,1,0,1,No
0,87474,0,4581,15,0,0,0,1,No
1,48707,0,37655,14,0,0,0,1,No
1,220081,0,52574,21,500,1,0,1,No
0,212976,0,19926,12,0,0,1,1,No
0,44182,0,12313,12,0,0,0,1,No
1,228829,0,59852,21,0,0,0,1,No
0,46823,0,5860,12,0,0,0,1,No
0,69110,0,18500,19,0,0,0,1,No
0,120700,0,55323,17,1500,1,0,1,No
1,152945,0,18604,6,3604,2,0,0,No
0,10302,0,30298,19,0,0,0,1,No
0,80331,0,15489,18,0,0,0,1,No
0,69882,0,180,6,0,0,0,1,No
0,95658,0,5269,18,0,0,1,1,No
1,402874,0,74800,15,0,0,0,1,No
1,370941,0,44615,16,0,0,1,1,No
0,21694,0,45230,20,700,2,0,1,No
0,71767,0,67335,13,0,0,0,1,No
0,35820,0,0,0,0,0,0,0,No
1,352508,0,23740,6,1000,2,1,1,No
1,149285,0,15656,13,3250,6,1,1,No
0,120941,0,42301,21,0,0,0,1,No
1,451673,0,43533,19,900,4,0,1,No
1,106961,0,7357,19,200,2,0,1,No
0,28086,1745,7368,12,0,0,1,1,No
0,60230,0,500,1,0,0,0,0,No
0,6663,0,1125,7,750,4,1,0,No
0,48145,0,10735,27,0,0,1,1,No
0,127807,0,17086,16,1500,3,0,1,No
0,32948,0,50,1,50,1,1,0,No
0,8933,0,8860,14,0,0,1,1,Yes
0,49885,0,23640,17,0,0,0,1,No
0,89999,0,11694,13,0,0,0,1,No
1,707079,0,57173,40,3450,12,1,1,No
0,211595,0,3250,8,0,0,0,0,No
0,410795,0,73679,31,0,0,0,1,No
0,72173,0,2954,13,232,1,1,1,No
1,123516,0,240544,31,500,2,1,1,Yes
1,143080,733,44373,38,3928,17,1,1,No
1,386061,0,107813,24,0,0,0,1,No
0,52738,2398,0,0,0,0,0,0,No
0,24523,0,100,1,0,0,1,0,No
0,134601,0,0,0,0,0,1,0,No
0,32742,0,61857,26,0,0,1,1,Yes
0,108341,0,19670,21,0,0,0,1,Yes
0,8669,0,11397,16,0,0,0,1,No
0,118940,0,36001,17,150,1,0,1,Yes
0,41385,0,26948,14,0,0,1,1,No
1,28621,0,13878,20,1400,10,0,1,No
0,16230,0,486,2,0,0,0,1,No
1,152881,0,79687,18,500,1,0,1,No
0,37348,0,0,0,0,0,0,0,No
0,51468,0,2278,9,0,0,0,0,Yes
0,95989,0,92159,30,1329,4,1,1,No
1,23184,1250,3694,12,1150,3,0,0,Yes
0,27381,0,18009,18,0,0,1,1,No
0,6854,0,0,0,0,0,0,0,No
0,201346,0,99612,34,600,4,0,1,Yes
0,31588,0,2947,8,0,0,0,1,No
0,204582,0,4671,14,0,0,0,1,No
0,8298,0,20087,15,0,0,0,1,Yes
0,10097,0,2700,1,2700,1,1,0,No
0,114356,0,27308,14,0,0,0,1,No
0,1344,0,1134,9,0,0,0,1,No
0,59797,0,7069,4,0,0,1,1,No
1,189053,0,24156,22,0,0,0,1,No
0,143481,0,45891,15,0,0,1,1,No
1,1302051,2706,90653,32,3050,7,1,1,No
1,229744,0,68754,35,550,2,1,1,No
0,75039,0,2750,10,250,1,1,0,No
0,20203,0,750,6,0,0,1,0,No
0,193976,0,10849,14,0,0,0,1,No
0,98224,0,5570,11,0,0,1,1,No
0,117329,0,6448,11,0,0,0,1,No
0,119239,0,36362,15,250,1,1,1,No
0,53715,0,7164,15,300,2,0,1,No
0,153747,0,58689,15,0,0,0,1,No
0,133309,0,23987,13,0,0,0,1,No
0,81380,0,56524,22,0,0,0,1,No
0,22074,0,6039,15,0,0,0,1,No
0,24051,0,8764,13,0,0,0,1,Yes
0,11449,0,9057,13,0,0,0,1,No
1,182317,0,19489,17,273,1,0,1,No
0,46184,0,3125,12,500,1,0,0,No
1,285116,0,8471,18,500,1,0,1,No
1,30962,0,97683,37,6400,18,1,1,Yes
0,15525,0,3853,6,0,0,0,1,No
0,163530,0,88987,25,0,0,0,1,No
0,2075,0,5002,14,0,0,0,1,No
0,227881,0,41186,13,0,0,0,1,No
0,118934,0,66222,37,2250,17,0,1,No
1,468175,0,141615,22,0,0,1,1,No
0,12526,0,56076,19,3850,11,0,1,No
1,176090,0,5300,9,2200,6,0,0,Yes
0,15221,0,4425,9,0,0,1,1,No
0,92875,0,60990,14,0,0,0,1,No
1,88702,0,9620,13,50,1,0,1,No
0,62882,0,1925,8,0,0,1,1,No
0,30015,0,5875,32,0,0,0,0,No
0,87293,0,21584,17,1050,2,0,1,No
0,45225,0,14711,15,0,0,0,1,No
1,96098,0,12500,4,0,0,0,0,No
0,236274,0,61515,12,0,0,1,1,No
1,423540,0,8534,14,2100,9,0,0,No
0,25279,0,14938,26,0,0,0,1,No
0,198137,0,6303,6,500,1,0,0,No
0,402312,0,77122,18,250,3,1,1,Yes
0,149733,0,605,3,500,1,0,0,No
0,70730,0,1319,12,0,0,0,1,No
0,164613,0,11095,13,0,0,0,1,Yes
0,47557,0,10267,18,200,3,0,1,No
1,35065,0,5400,5,1400,3,0,0,Yes
0,105769,0,23097,16,0,0,0,1,No
0,35900,0,0,0,0,0,0,0,No
0,43088,0,4000,1,0,0,0,0,No
0,58703,0,46473,34,950,4,0,1,No
1,70354,0,120907,22,0,0,1,1,Yes
0,145726,0,19019,15,0,0,0,1,No
0,121639,0,67286,7,0,0,0,1,No
0,70676,0,74993,15,0,0,0,1,No
0,18263,0,2100,4,1000,2,0,0,Yes
0,51250,0,0,0,0,0,0,0,Yes
1,1704838,0,17108,32,4823,23,1,0,No
0,12895,0,0,0,0,0,1,0,No
0,120073,0,12423,29,0,0,1,1,Yes
0,2003,0,980,2,0,0,0,0,No
1,22652,0,57642,14,0,0,0,1,No
1,168515,0,4600,4,0,0,0,0,Yes
1,44873,0,38740,18,850,2,1,1,No
0,190542,1745,8487,9,0,0,0,1,No
1,156230,0,5300,8,1300,5,0,0,No
0,79211,0,36776,14,0,0,0,1,No
0,98006,0,46349,20,2309,3,0,1,No
0,33982,0,68320,17,0,0,0,1,No
0,62998,0,11326,24,0,0,0,1,No
0,137908,0,57713,19,0,0,0,1,No
0,45586,0,37459,15,0,0,1,1,No
1,568174,0,67121,16,1000,2,0,1,No
1,145993,0,95082,17,500,1,1,1,Yes
0,294881,0,84800,20,0,0,0,1,No
0,12195,0,3875,17,0,0,0,0,No
0,16622,0,0,0,0,0,1,0,No
0,141813,0,39743,14,0,0,0,1,No
1,58139,500,38408,16,150,1,0,1,No
0,238868,0,20521,16,0,0,0,1,Yes
1,149286,0,42141,30,2400,13,1,1,No
0,35945,0,0,0,0,0,1,0,No
0,28218,0,750,4,750,4,1,0,No
0,7061,0,7100,12,0,0,0,1,No
0,217846,0,49198,20,0,0,0,1,Yes
0,364387,0,28200,27,0,0,0,1,No
0,125465,0,14750,9,0,0,0,1,No
0,94222,0,52081,24,0,0,0,1,No
1,123370,0,7478,16,0,0,1,1,No
0,383030,2998,8001,25,3226,15,1,1,No
0,112969,0,7572,7,0,0,0,1,No
0,46430,0,2100,4,500,1,0,0,No
0,179433,0,30476,15,0,0,0,1,No
0,20746,0,37534,17,0,0,0,1,No
1,61455,0,28765,17,0,0,1,1,No
1,714717,0,119162,20,1750,4,0,1,No
1,179559,0,17819,12,1000,2,0,1,No
1,119977,2556,9275,16,1400,4,1,0,Yes
0,16928,0,1000,1,0,0,0,0,No
0,65316,0,3917,10,0,0,0,1,No
1,766419,0,11398,3,398,1,1,0,No
1,52060,0,6500,3,0,0,0,0,No
0,84700,0,13544,17,0,0,0,1,Yes
1,205523,0,32404,20,1000,2,0,1,No
0,20457,0,51399,16,0,0,0,1,No
1,278727,0,21666,19,9166,16,0,0,No
0,50325,0,11930,14,0,0,0,1,No
0,455228,0,258,2,258,2,1,0,No
0,73849,0,11793,21,0,0,0,1,No
1,388455,0,114329,26,6078,8,1,1,No
1,138999,0,63738,29,600,4,0,1,No
0,65573,0,3875,23,0,0,0,0,No
0,172288,0,66879,10,0,0,0,1,No
0,47958,0,0,0,0,0,0,0,No
0,133002,0,15672,21,150,1,0,1,No
0,42363,0,0,0,0,0,0,0,No
0,133370,0,44299,18,0,0,0,1,No
1,278457,6727,57313,27,1000,2,1,1,No
0,105166,1374,37663,22,0,0,0,1,No
0,34956,0,0,0,0,0,1,0,No
0,46963,0,1500,5,0,0,0,0,No
0,55788,0,24831,12,0,0,0,1,No
1,174910,0,63960,20,200,1,0,1,Yes
0,13812,0,15149,39,0,0,0,1,No
0,38718,0,0,0,0,0,0,0,No
1,112501,0,19140,11,0,0,0,1,Yes
0,54005,0,1500,5,0,0,1,0,No
1,66863,0,36532,9,0,0,1,1,No
0,93045,0,17636,15,0,0,0,1,No
0,197328,0,60447,12,0,0,0,1,No
0,151301,0,37772,14,0,0,0,1,No
1,87938,0,11268,2,0,0,1,0,No
0,15283,0,1250,3,0,0,0,0,No
0,105423,0,20802,14,0,0,0,1,No
0,312512,0,100,1,100,1,1,0,No
0,13680,0,0,0,0,0,0,0,No
0,41279,0,14462,20,1650,6,0,1,No
0,25313,0,7491,13,0,0,0,1,No
0,148691,0,3000,3,1000,2,1,0,No
0,224081,0,40108,15,150,2,0,1,No
0,51088,0,0,0,0,0,0,0,No
0,95305,0,3189,13,0,0,1,1,No
1,22080,0,12200,47,1950,9,0,0,No
0,11660,0,140,1,0,0,1,0,No
1,222227,0,38127,14,500,1,0,1,No
0,16200,0,160,1,0,0,0,0,No
0,38227,0,8612,13,0,0,0,1,No
1,80214,0,500,1,500,1,1,0,No
1,53985,0,1000,1,0,0,0,0,No
0,14414,0,0,0,0,0,0,0,No
0,44457,0,225,3,0,0,0,0,Yes
0,161813,0,126941,20,0,0,0,1,No
0,138020,0,6568,15,0,0,0,1,No
1,107707,0,19407,25,2211,12,0,1,No
0,95656,0,62666,27,0,0,0,1,Yes
0,149678,0,0,0,0,0,0,0,No
0,15113,0,10574,19,0,0,1,1,No
1,231,0,29900,24,5300,15,0,0,No
0,22380,0,300,2,200,1,0,0,No
0,146263,0,20853,21,350,1,0,1,No
0,24598,0,0,0,0,0,0,0,No
0,76150,0,36907,17,0,0,0,1,No
1,377252,0,230629,30,6393,13,0,1,No
0,167670,0,15907,13,0,0,1,1,No
0,86853,0,42293,21,500,1,1,1,No
1,479989,0,66516,26,1600,6,0,1,No
0,28193,0,103456,32,0,0,0,1,Yes
0,67086,0,18157,16,0,0,0,1,No
0,35969,0,11665,21,0,0,1,1,No
0,53790,0,28717,19,0,0,0,1,No
0,198859,0,17855,14,500,1,0,1,No
0,91939,0,1244,8,0,0,1,1,No
0,88449,0,11402,18,1450,5,1,1,No
0,54842,0,20792,15,0,0,0,1,Yes
0,11189,0,9044,20,0,0,1,1,No
0,16999,0,140,1,0,0,1,0,No
0,114713,0,7142,18,0,0,1,0,No
0,1612,0,955,9,0,0,0,1,No
0,97763,0,2000,9,0,0,0,0,No
0,15129,0,0,0,0,0,0,0,No
0,15669,0,1205,4,0,0,1,0,Yes
0,26720,0,913,3,0,0,1,1,No
0,205292,0,5471,13,0,0,1,1,No
0,56635,0,1024,8,359,2,1,0,No
0,127297,0,8510,12,0,0,1,1,No
0,8927,0,0,0,0,0,1,0,No
1,507506,1952,102279,32,4485,13,1,1,No
0,145723,0,59858,16,0,0,1,1,No
0,6458,0,0,0,0,0,0,0,No
1,267640,0,6000,3,0,0,1,0,No
0,5581,0,0,0,0,0,1,0,No
0,10732,0,1296,6,0,0,0,1,No
1,620498,0,25395,53,1750,14,1,1,No
0,68963,0,37723,15,0,0,0,1,No
1,109640,0,66983,38,5500,17,1,1,No
1,225802,0,74340,16,200,2,0,1,No
0,58452,0,0,0,0,0,1,0,No
0,109087,0,10462,16,0,0,0,1,No
0,68286,0,22831,13,0,0,1,1,No
0,68464,0,240,3,0,0,1,0,No
0,131960,2000,16081,8,0,0,0,1,No
0,199956,1178,0,0,0,0,1,0,No
1,529886,7210,23866,26,7741,15,1,0,Yes
0,23529,0,500,1,0,0,0,0,No
0,190295,0,3501,15,0,0,1,1,No
1,21083,0,129330,16,1000,2,0,1,No
0,117860,0,62758,15,0,0,1,1,No
0,118844,0,28731,17,400,2,0,1,No
0,60493,0,9000,1,0,0,1,0,No
1,491987,0,68007,23,700,2,0,1,No
0,87692,0,2310,6,500,1,1,1,No
0,78028,0,36269,24,0,0,1,1,No
0,251286,0,0,0,0,0,0,0,No
0,17575,0,0,0,0,0,1,0,No
0,50431,0,1000,1,0,0,0,0,No
0,153597,0,56567,18,0,0,0,1,No
0,74579,0,4600,11,600,8,0,0,No
0,2494,0,0,0,0,0,1,0,No
0,96031,0,46588,21,0,0,0,1,No
1,353678,0,141230,28,1450,5,0,1,No
0,50052,0,49383,13,0,0,0,1,No
0,13381,0,1000,8,0,0,0,0,No
0,25123,0,2030,6,0,0,1,1,No
0,132555,0,24775,31,350,1,0,1,No
0,14528,0,6000,7,3000,6,0,0,No
0,24038,0,6290,14,0,0,0,1,No
1,192104,0,39010,53,1750,8,0,1,No
1,106773,0,12900,10,1400,8,1,0,No
0,229397,0,22873,13,0,0,0,1,No
0,14732,0,100,1,0,0,0,0,No
1,383129,0,23608,16,500,1,1,1,No
0,11431,0,1759,4,759,3,0,0,No
0,175461,0,40997,14,0,0,0,1,Yes
0,52953,0,500,1,0,0,0,0,No
0,182291,0,24155,22,0,0,0,1,No
1,198317,0,61714,16,0,0,0,1,No
0,49053,0,6498,18,950,5,1,1,No
0,22772,0,0,0,0,0,1,0,No
0,34170,0,15476,20,150,1,0,1,No
0,158483,0,9018,11,0,0,0,1,No
0,43285,0,28613,14,0,0,0,1,No
0,52980,0,17078,14,0,0,0,1,No
0,74342,0,4389,12,0,0,1,1,Yes
1,139849,0,19946,15,0,0,0,1,No
1,26080,0,9872,13,0,0,0,1,No
0,29469,0,2522,4,0,0,0,1,No
0,189252,0,2991,15,0,0,0,1,No
1,382546,0,136619,34,3000,6,1,1,Yes
1,1113394,2015,60883,26,2600,9,1,1,No
1,459681,0,95531,17,0,0,1,1,No
0,83590,0,3708,22,0,0,1,1,No
0,82528,0,2100,5,600,4,0,0,No
0,5600,0,125,1,0,0,0,0,No
1,743745,2066,4100,20,2500,18,1,0,No
0,43954,0,63463,13,250,1,0,1,Yes
0,52005,0,11870,15,100,1,0,1,No
0,45494,0,5021,16,600,2,1,1,No
1,171509,0,40090,55,6381,23,1,1,No
0,235947,0,3982,16,0,0,0,1,No
0,153108,0,25802,14,500,1,0,1,No
0,260261,0,33047,21,0,0,0,1,No
0,80223,0,21248,26,2050,7,0,1,No
0,38716,0,8253,21,0,0,0,1,No
0,1125076,0,23046,14,0,0,0,1,No
1,10954,500,2500,1,0,0,0,0,No
1,97099,0,6325,21,1700,5,0,0,No
0,62396,2128,1250,3,0,0,1,0,No
1,40645,0,18348,13,0,0,1,1,No
1,82655,0,101101,19,700,2,1,1,No
1,84035,0,4240,6,1600,4,1,0,No
1,1199220,2919,3800,19,3300,18,0,0,No
0,86345,0,13415,16,350,2,0,1,No
0,2701,0,5000,10,0,0,0,0,No
0,46874,0,9689,38,500,1,0,1,No
1,10879,0,78186,32,3400,12,0,1,No
0,12742,0,0,0,0,0,1,0,No
1,122904,0,37380,21,1300,4,0,1,Yes
0,10994,0,1250,3,0,0,0,0,No
0,2318,0,8747,14,0,0,0,1,No
0,11070,0,0,0,0,0,1,0,No
0,21921,0,0,0,0,0,0,0,Yes
0,162521,0,57354,25,0,0,1,1,No
0,207545,0,11137,34,4387,12,0,0,No
0,86112,0,35528,22,0,0,1,1,No
0,18328,0,0,0,0,0,1,0,No
1,217557,0,97584,19,550,2,0,1,No
0,11504,0,100,1,0,0,0,0,No
0,143200,0,79837,28,50,1,0,1,No
0,160703,0,32560,12,0,0,0,1,No
0,910,0,5172,13,0,0,0,1,No
0,94105,0,100,1,0,0,1,0,No
0,18422,0,3297,13,0,0,1,1,No
1,889456,1024,98959,29,850,4,0,1,No
1,9800,589,10348,34,3000,25,1,0,No
0,148318,0,51197,22,350,2,0,1,No
0,26149,0,5190,6,0,0,0,1,Yes
0,76933,0,28075,17,0,0,0,1,No
0,346178,0,63803,16,0,0,1,1,No
1,22878,0,9039,32,0,0,1,1,No
1,66741,2880,71921,30,2600,7,0,1,No
0,134060,0,46606,13,0,0,1,1,No
1,3305,0,31465,24,1700,10,0,0,No
0,28930,0,8185,17,0,0,0,1,No
1,208519,0,4040,6,450,2,0,0,No
0,58951,0,47994,15,500,1,0,1,No
0,25395,0,2000,1,0,0,0,0,No
0,109248,0,6828,11,0,0,0,1,No
0,43387,0,4942,13,0,0,1,1,No
0,52423,0,26926,13,0,0,0,1,No
0,26858,500,34308,17,900,3,0,1,No
0,5410,0,45890,22,0,0,0,1,No
0,18177,0,12040,12,0,0,0,1,No
1,413509,0,2500,1,0,0,1,0,No
1,98472,1776,124421,45,10250,28,1,1,No
0,86520,3445,64450,20,1000,2,0,1,No
0,16648,0,625,4,0,0,0,0,No
1,267404,0,263685,51,3000,6,0,1,No
0,31478,0,18885,18,0,0,0,1,No
1,17445,0,4500,3,500,1,1,0,No
0,49052,0,46718,17,0,0,0,1,No
0,21689,0,0,0,0,0,0,0,No
0,18302,0,2197,10,0,0,0,1,Yes
0,26220,0,2775,11,0,0,0,0,No
0,59552,0,7551,22,0,0,1,1,No
0,34962,0,252,3,0,0,0,1,No
0,16153,0,180,1,0,0,0,0,No
1,28931,0,6500,4,500,1,0,0,No
1,202636,0,19000,5,0,0,0,0,No
1,153962,0,90992,21,0,0,0,1,No
0,63311,0,25048,14,0,0,0,1,No
0,8561,0,2050,8,1300,2,0,0,Yes
1,256219,0,29823,33,6568,16,0,1,No
0,122700,0,18604,13,0,0,0,1,No
0,81419,0,7769,12,350,1,0,1,No
0,13873,0,4833,20,0,0,1,1,No
0,148,0,190,2,0,0,1,0,No
0,178919,0,23387,17,0,0,0,1,No
0,19702,0,3000,1,0,0,0,0,No
0,18820,0,0,0,0,0,0,0,No
0,213849,0,500,1,0,0,0,0,No
0,28077,0,735,6,500,1,0,1,No
0,4528,0,290,1,0,0,1,0,No
0,40418,0,12678,12,0,0,0,1,No
0,380930,0,22485,25,213,1,0,1,No
1,176849,0,7700,11,950,4,0,0,Yes
0,71235,0,41004,14,0,0,0,1,No
0,76446,0,63811,17,0,0,0,1,No
0,148915,0,23522,16,650,2,0,1,No
0,65034,0,14331,16,800,3,0,1,No
0,35738,0,41264,16,0,0,0,1,No
0,313,0,1600,1,0,0,0,0,No
0,55703,0,0,0,0,0,0,0,No
1,11613,0,2000,1,0,0,0,0,No
0,65672,0,29089,13,0,0,0,1,No
0,84785,0,4570,14,0,0,0,0,No
0,30592,862,2602,7,0,0,0,1,No
1,99293,0,81040,23,1000,2,0,1,No
0,51830,0,0,0,0,0,0,0,No
0,20126,0,78999,28,800,3,0,1,No
0,3294,0,1330,2,0,0,1,0,No
0,11143,0,2800,6,800,5,0,0,No
0,8250,0,250,2,0,0,1,0,No
0,117670,0,53043,19,550,1,0,1,No
0,49454,0,9548,22,250,1,0,1,No
0,58421,0,1000,1,0,0,0,0,No
0,33443,0,0,0,0,0,1,0,No
0,13886,0,0,0,0,0,1,0,No
0,15349,0,250,2,0,0,1,0,No
0,78712,0,0,0,0,0,0,0,No
0,89742,0,39073,13,0,0,0,1,No
0,31311,0,3961,10,0,0,0,1,No
1,133445,8264,3375,13,0,0,0,0,No
0,136161,0,6032,15,0,0,0,1,No
0,9998,0,0,0,0,0,1,0,No
0,37904,0,19052,17,0,0,0,1,No
0,41243,0,27971,7,300,1,0,1,No
1,54011,1604,38380,20,5780,4,1,1,No
0,5351,0,100,1,0,0,1,0,No
0,23334,0,0,0,0,0,1,0,No
0,11255,0,0,0,0,0,1,0,No
0,48127,0,41447,28,0,0,1,1,No
0,329497,0,57264,12,0,0,0,1,No
0,158895,0,41954,15,0,0,0,1,No
0,34540,0,27882,13,0,0,0,1,No
1,117623,0,86582,26,1000,6,1,1,No
0,126409,0,28460,13,0,0,0,1,Yes
0,112843,0,16137,14,0,0,0,1,No
1,117240,0,1200,3,700,2,1,0,No
0,7216,0,21419,18,0,0,0,1,No
0,26412,0,5086,2,0,0,0,1,No
0,427528,0,35098,16,1600,3,0,1,No
0,1846,0,450,1,0,0,0,0,No
0,45830,0,23404,10,0,0,0,1,No
1,179042,0,25078,50,3350,15,1,0,No
1,41487,500,10885,7,0,0,0,0,No
0,39601,0,3733,9,0,0,1,1,No
0,46142,0,14445,13,0,0,0,1,No
0,110277,0,37110,18,1500,3,0,1,No
0,122928,0,12211,14,0,0,0,1,Yes
0,146599,0,16463,16,1000,2,0,1,No
1,338656,0,52908,16,0,0,0,1,No
0,54125,0,48874,17,450,3,0,1,No
0,29861,0,28190,15,0,0,0,1,No
0,126148,0,6273,8,0,0,0,1,No
1,62080,2975,19113,32,10650,28,1,1,No
1,175131,0,53495,15,0,0,0,1,No
1,365918,0,83752,23,1373,7,1,1,No
0,105547,0,24973,26,500,1,1,1,No
