LASTGIFT,AVGGIFT,Donation
5,3.714285714,Low
20,14.28571429,Low
9,9.238095238,Low
20,15.33333333,High
24,6.269230769,Low
3,4.923076923,Low
8,6.428571429,High
15,10,Low
5,5.25,Low
10,7.846153846,Low
10,7,Low
4,4.266666667,Low
6,6.333333333,Low
40,20.83333333,High
20,20,High
10,5.5,High
10,10,Low
20,14.8,High
15,16.78571429,High
20,15,High
15,15.375,Low
12,6.725,Low
15,11.6,Low
6,4.965517241,Low
11,13,High
15,10.125,High
11,8.466666667,Low
5,3.125,Low
3,3.516129032,Low
9,5.857142857,Low
14,9.777777778,High
20,15,High
5,7.785714286,Low
13,9,High
14,9.533333333,High
15,13.66666667,High
100,12.07142857,Low
10,6.631578947,Low
10,7.714285714,Low
25,25,High
7,5.285714286,Low
25,18.71428571,High
13,9.428571429,High
10,10.625,Low
13,9.45,High
50,33,High
40,19.85714286,High
5,3.592592593,Low
20,8.75,High
5,8.444444444,Low
6,5.888888889,Low
5,5.090909091,Low
10,21.63636364,High
5,5.384615385,Low
15,14.44444444,High
10,15.55555556,Low
3,3.425925926,Low
20,12.5,High
9,6.4,Low
13,10.66666667,High
6,12.15384615,High
25,13.14285714,High
10,7.8,Low
14,8.6,High
20,8.157894737,High
11,8.931034483,Low
25,12.4375,High
12,10.66666667,Low
10,6.916666667,High
10,6,Low
3,4.278688525,Low
10,5.764705882,Low
9,8.2,Low
9,9.2,Low
5,5.133333333,Low
14,11.22222222,High
7,7.076923077,Low
19,19.43243243,High
5,5.714285714,Low
12,9.571428571,High
12,11.81818182,High
10,9.705882353,Low
3,4.090909091,Low
25,20.33333333,High
10,10,Low
12,10.7,High
15,10,High
7,6.6,High
11,9.8,Low
4,4.375,Low
15,12.5,High
21,18,High
7,6.125,Low
15,8.411764706,Low
15,9.1,High
11,11.28,High
5,5.428571429,Low
25,7.875,Low
5,6.928571429,Low
10,8.75,Low
6,5.2,Low
26,9.4375,Low
10,6.904761905,Low
10,8.294117647,Low
15,10,High
15,11.44444444,High
10,8.75,Low
11,8.4375,Low
3,3.545454546,Low
10,10.6,High
3,2.705882353,Low
15,15,High
15,9,High
11,7.764705882,High
11,9,High
15,10,Low
4,3.6,Low
15,8.5,High
10,8.619047619,Low
7,6.666666667,Low
10,12.22222222,Low
10,7.604651163,Low
25,25,High
5,11.72413793,High
5,7.857142857,Low
5,4.75,Low
10,5.5625,High
5,6.162790698,Low
6,6.409090909,Low
6,6.6,Low
5,5.5,Low
25,23.33333333,High
10,9,Low
15,9.625,High
15,9.7,High
25,25,High
6,5.125,Low
12,7.25,High
10,11,High
5,5.518518519,Low
20,15,High
12,10.21428571,Low
15,9,High
20,16.5,High
50,50,High
3,4.555555556,Low
10,11.8,Low
13,8.729166667,High
4,4.142857143,Low
15,12.72727273,High
5,4.333333333,Low
9,6.548387097,High
15,10.4,Low
219,122.1666667,High
15,15,Low
20,20,High
5,4.615384615,Low
15,15.33333333,Low
12,7.166666667,Low
9,7.454545455,High
11,9.125,Low
16,10.7,High
4,4,High
25,18.33333333,High
4,3.966666667,Low
10,5.263157895,Low
10,8.75,High
5,4.35,Low
11,9.5,High
10,7.421052632,Low
6,8.731153846,Low
15,7.75862069,High
7,6.461538462,Low
10,11.66666667,High
10,6.8,Low
15,7.5,High
4,4.25,Low
20,17.1,High
6,6.363636364,Low
7,5.684210526,Low
10,8.894736842,Low
10,8.2,Low
14,13.41666667,High
15,11.5,High
6,4.166666667,Low
20,14.77777778,High
7,7,Low
13,10.13333333,High
5,4.277777778,Low
8,5.25,Low
5,3.214285714,Low
12,7.611111111,High
12,9.375,Low
5,5.833333333,Low
7,5.307692308,Low
15,9.9375,High
5,3.055555556,Low
7,4.352941177,High
12,8.642857143,High
10,6.933333333,Low
12,11,High
10,10.75,High
6,7.941176471,Low
5,5.133333333,Low
8,7.59375,Low
15,11.4,High
5,5,Low
5,5.909090909,Low
25,7.5,High
10,15.4,High
10,5.833333333,Low
12,9.846153846,Low
7,5.5,Low
10,8.428571429,Low
6,7.090909091,Low
12,11.4,High
10,6.375,Low
10,9.4,Low
12,11.1,High
10,7.2,High
6,6.862068966,High
5,4.8,Low
5,5.127659575,Low
5,5.125,Low
5,5,Low
6,5.166666667,Low
12,11.1,High
10,10.96296296,High
14,12.33333333,High
8,6.555555556,Low
25,25,High
21,10.72727273,High
6,5.714285714,Low
12,11.2,High
19,15.66666667,High
20,17.5,Low
10,7.533333333,Low
20,20,High
20,14,Low
3,6.75,Low
5,3.939393939,Low
20,27.09090909,High
10,7.941176471,Low
25,25,High
12,14,High
25,16.71428571,High
7,5.8,Low
25,23,High
10,15,High
20,15,High
14,7.083333333,High
4,4.5,Low
8,8.818181818,Low
12,7.875,Low
25,16.28571429,High
11,8.5,Low
10,8.25,Low
5,3.161290323,Low
21,15.33333333,High
7,8.285714286,Low
15,19.66666667,High
11,7.666666667,High
20,11.25,High
20,20,Low
5,5.346153846,Low
11,8,High
6,5,Low
10,7.5,Low
10,7.222222222,High
12,10.5,Low
31,15.46428571,High
10,8.875,High
15,9.857142857,High
25,25,High
15,15,High
14,8.666666667,Low
10,9.685,Low
6,5,Low
7,5.4,Low
10,7.7,Low
14,11.625,Low
10,7,Low
20,20,High
80,80,High
22,18.5,High
15,13.73913044,High
5,5.833333333,Low
2,2.764705882,Low
31,18,High
26,16.5,High
6,4.5,Low
40,10.40740741,High
23,19.25,High
5,18.6,Low
5,5,Low
15,15.55555556,High
24,14.88888889,High
8,7.454545455,Low
20,9.666666667,Low
13,9.090909091,High
27,17.8,High
9,10.16666667,High
5,8,Low
15,10.5,High
19,12,High
5,3.25,Low
18,16.45454546,High
3,4.431034483,Low
9,6.916666667,Low
14,12.42857143,High
10,8.266666667,Low
27,26.44444444,High
17,14.6,High
10,7.62962963,Low
36,30.75,High
5,5.692307692,Low
15,15,High
10,8,Low
20,11.66666667,High
10,7.666666667,High
5,2.971428571,Low
9,6.590909091,Low
6,7.875,Low
15,11.66666667,High
25,20.94444444,High
10,6.25,Low
20,16.66666667,High
6,8.923076923,High
5,8.75,Low
9,5.533333333,Low
11,4.277777778,High
6,4.272727273,Low
5,5.166666667,Low
10,8.083333333,Low
8,7.5,Low
20,14.25,High
10,6.5,Low
5,6.666666667,Low
8,6.818181818,High
10,6.666666667,Low
25,25,High
10,9.363636364,Low
13,11.08333333,High
14,12.5,High
14,8.2,Low
3,3.181818182,Low
16,10.35714286,Low
30,18.57142857,High
15,11.57142857,High
8,6.833333333,Low
10,9.888888889,High
11,7.166666667,Low
3,3.08,Low
6,9,Low
15,11.5,High
3,3.703703704,Low
10,6.066666667,Low
17,14,High
10,9.918367347,Low
0,8.571428571,Low
15,20,High
100,53.85714286,High
15,8.916666667,Low
15,9.310344828,High
20,15.3,High
10,7.6,Low
30,18.2,High
15,15,High
10,9.472222222,Low
5,3,Low
3,7.076923077,High
20,12,Low
12,9.1875,High
10,10.31578947,Low
7,5.333333333,Low
7,6.642857143,Low
20,13.5,Low
7,6.545454546,Low
11,8.214285714,High
7,5.4,Low
7,5.625,Low
20,20,Low
5,4.606060606,Low
13,12,High
8,5.5,High
10,8.307692308,Low
7,4.592105263,Low
10,20,High
5,3.857142857,Low
6,4.243243243,Low
12,8.3,Low
10,8.333333333,Low
30,27.5,High
25,21.34545455,High
5,4.75,Low
3,3.285714286,Low
2,2.637931035,Low
5,4.875,Low
8,6.666666667,Low
10,8.777777778,Low
5,3.815789474,Low
5,4.428571429,Low
3,3.21875,Low
9,7.548387097,Low
10,4.5,High
7,6.75,Low
10,3.857142857,Low
10,8.571428571,High
10,10,Low
10,8.538461539,High
15,15,High
10,10,High
20,9.764705882,High
10,7.285714286,Low
12,13.66666667,High
5,4.258064516,Low
3,3.173913044,Low
3,3.14893617,Low
25,25,High
30,30,High
20,16.42857143,High
7,5.5,Low
10,18.33333333,High
10,12.75,High
3,2.709677419,Low
12,11.4,High
6,5.935483871,Low
15,12.33333333,High
25,14.25,High
10,15.33333333,High
10,6.705882353,Low
5,4.4375,Low
10,9,Low
15,8.111111111,Low
10,7.5,High
10,10.86666667,High
10,6.333333333,Low
25,12.2631579,High
10,7.25,Low
22,21,High
5,2.625,Low
5,8.75,Low
8,7.05,Low
3,6.928571429,Low
15,16,Low
25,25,High
14,10.28571429,High
12,6.923076923,Low
10,10,Low
15,16,High
12,9.5,Low
5,5,Low
22,16.65384615,High
5,8.571428571,Low
14,13.46666667,High
5,4.363636364,Low
20,20,High
3,3.916666667,Low
15,15,High
10,9.6,High
7,3.491935484,High
8,6.892857143,Low
15,9.2,High
15,9.666666667,Low
9,5.235294118,Low
14,8.785714286,Low
13,10.6,High
20,13.51111111,High
9,7.5625,High
5,4.5,Low
25,25,High
10,7.25,High
10,9,Low
10,7.583333333,Low
24,10.25,High
4,4,Low
8,7.666666667,Low
15,9.857142857,Low
20,11.28571429,High
12,8.571428571,Low
16,10.33333333,Low
7,8.111111111,High
10,8.80952381,Low
10,7.611111111,Low
10,5.576923077,Low
5,6.5625,Low
3,4.347826087,Low
50,28.75,High
25,10.88888889,High
20,13.375,High
5,3.297619048,Low
3,5.166666667,Low
20,14.41176471,High
3,4.8,Low
24,17.875,High
0,8.647058824,Low
6,4.714285714,Low
3,4.848484849,Low
25,5,Low
5,23.85294118,Low
5,4.9375,Low
10,9,Low
10,7.555555556,Low
5,8.333333333,Low
50,33.33333333,High
5,6.157894737,Low
5,3,Low
5,5,Low
25,8.25,Low
25,25,High
19,16.6,High
20,15.07692308,High
15,10,High
15,11.5,High
3,4.5,Low
6,6.636363636,High
8,7.933333333,Low
15,13.88888889,High
7,5.952380952,Low
20,13.875,High
5,5.076923077,Low
15,9.6,High
21,11,High
20,15,High
3,2.439814815,Low
15,15,High
6,5.8,Low
5,5.285714286,Low
5,3.15,Low
15,9.5,High
25,25,High
15,13.33333333,High
2,3.117647059,Low
15,10.05555556,High
21,18,Low
20,14.22222222,Low
15,9.4,Low
15,15,High
16,13,High
8,7,High
5,4.619047619,Low
16,13,High
12,9.25,High
39,26.82926829,High
100,31.81818182,High
5,7.5,Low
19,22.25,High
6,4.444444444,Low
15,14.2,High
10,8.875,High
3,2.583333333,Low
8,7,Low
24,14.1,High
5,4,Low
12,9.695652174,High
17,13.77777778,High
7,4.6875,Low
15,12.2,Low
10,6.411764706,Low
6,3.210526316,Low
20,13,High
7,5.916666667,Low
12,9.95,Low
6,4.9,Low
10,13,High
10,4.266666667,Low
15,11.66666667,Low
7,6.111111111,Low
10,10.44444444,Low
15,9.5,High
5,4.785714286,High
3,3.357142857,Low
20,10.6,Low
4,4.826086957,Low
10,8.25,High
12,10.27272727,High
10,6.368421053,Low
35,30,High
16,13,High
10,13.11111111,High
10,7.625,Low
6,4.95,Low
10,9.166666667,High
0,9.533333333,Low
6,5.25,Low
9,7.076923077,Low
10,6,Low
5,5,Low
16,13,High
7,5.214285714,Low
20,20,Low
15,6.4,High
10,7,Low
8,6.5,Low
5,4.608695652,Low
10,13.30769231,High
25,25,High
9,8.25,Low
11,8.857142857,Low
15,6.714285714,Low
4,4.142857143,Low
20,12.5,Low
5,6.285714286,Low
10,6.6,Low
20,20,High
25,21.66666667,Low
16,10.5,High
21,11.53333333,High
8,7.836734694,Low
16,11.53846154,High
6,6.666666667,Low
15,13.75,High
14,13.3,High
7,6.428571429,Low
10,8.75,High
10,10.64285714,High
5,4.545454546,Low
9,7.909090909,Low
22,11.5,Low
11,8.833333333,High
5,5.357142857,Low
10,3.52631579,Low
7,6.21875,Low
7,7.1,High
5,3.166666667,Low
10,7.583333333,Low
8,6.333333333,High
10,6.444444444,Low
4,4.076923077,Low
10,9.666666667,Low
15,15,Low
20,10.83333333,High
7,5.583333333,Low
5,5.088235294,Low
4,4.166666667,Low
11,6.75,Low
14,11.82352941,High
20,17.5,High
10,7.125,Low
15,10,High
9,4.720588235,Low
25,25,High
20,12.33333333,High
20,20,High
8,3.589285714,High
2,4,Low
4,3.6875,Low
4,3.5,Low
10,13.28571429,High
12,7.25,High
12,9.214285714,High
50,50,High
0,5.818181818,Low
7,6.2,Low
5,7.9,Low
5,6.117647059,Low
25,14.7,High
10,6.071428571,Low
5,7.666666667,Low
3,6.6,Low
15,8.666666667,Low
8,7.8,Low
15,12.53846154,High
10,12.2,High
15,12.8,Low
7,5.333333333,Low
3,3.727272727,Low
10,6.666666667,Low
15,9.666666667,High
11,13.27586207,High
11,10.2,Low
12,9.857142857,Low
8,7.5,Low
10,7,Low
3,4.714285714,High
10,6.533333333,High
8,7.2,Low
10,12.22222222,High
13,5.821818182,High
16,12,High
9,7.8,High
15,11.44444444,High
24,13.27272727,High
26,22.2,High
20,5.2,Low
15,9,High
10,8.217391304,Low
20,15,High
10,8.4,Low
5,5.714285714,Low
16,13,High
10,6.222222222,Low
9,9,High
10,8.6875,Low
16,13.65909091,High
10,7.25,Low
5,4.5,Low
3,4.857142857,Low
7,5.133333333,Low
15,15,High
25,15.2,High
11,10.18181818,High
10,5.875,Low
12,10.5,Low
5,8.352941177,Low
10,8,Low
8,7.388888889,Low
15,7.875,High
10,10,Low
10,8.333333333,Low
12,11.33333333,High
20,13.65217391,High
14,9.6875,High
10,9.303030303,High
7,5.428571429,Low
5,7.555555556,Low
10,4.583333333,Low
10,8.227272727,Low
25,12.6,High
5,6.714285714,Low
20,14.57142857,High
5,7.5,Low
4,4.454545455,Low
10,6.923076923,High
8,6.055555556,Low
4,4.764705882,Low
12,8.111111111,High
25,11,High
30,21.09090909,Low
11,9,High
100,62.5,High
10,7.272727273,High
10,6.909090909,Low
6,5.56097561,Low
10,6.578947368,Low
11,6.875,Low
3,4.25,Low
5,3.777777778,Low
6,5.6,Low
20,14.75,Low
15,13.33333333,High
25,15,High
15,9.666666667,High
20,10.9,Low
15,11.66666667,Low
25,25.66666667,High
5,8,Low
4,4.066666667,Low
8,4.964285714,Low
5,6.588235294,Low
30,19.875,High
21,12.9,High
15,15,High
20,27.14285714,High
10,5.375,Low
15,15,High
25,21.06666667,High
15,14.22222222,High
15,13.8,High
15,9.961538462,High
13,10,High
3,3.578947368,Low
10,6.285714286,Low
6,5.466666667,Low
15,9.642857143,Low
50,17.52941177,High
12,10.66666667,High
8,5.571428571,Low
15,9,High
8,4.666666667,Low
20,15,High
9,8,Low
30,20.25,High
15,13.4,High
5,6.428571429,Low
5,5,Low
10,5.739130435,High
5,4.909090909,Low
17,14.14285714,Low
10,7.5,Low
14,10.125,High
15,11.8,High
9,2.674418605,Low
5,3.72,Low
15,10.81818182,High
20,15.33333333,High
10,8,Low
15,5.944444444,Low
5,5,Low
7,4.833333333,Low
23,13.69230769,High
6,4.069767442,Low
10,12.5,Low
3,2.916666667,Low
5,7.923076923,Low
9,7.894736842,Low
15,15,High
7,6.25,Low
3,5.142857143,Low
8,7.5,Low
10,13.1875,High
10,6.666666667,Low
5,3.518518519,Low
17,12,High
15,10.625,High
3,3.823529412,Low
7,5.2,Low
50,32.22222222,High
26,22.88235294,High
20,19.23076923,High
13,9.666666667,High
5,4.416666667,Low
10,11.42857143,Low
20,8.5,High
7,6.3,Low
11,8.571428571,Low
4,3.761904762,Low
12,7.75,High
15,10,High
10,7.6,High
9,6.7,High
6,5.555555556,Low
5,5.057142857,Low
15,9.789473684,High
10,11.25,High
20,16.66666667,High
2,3.222222222,Low
6,5.571428571,Low
10,4.833333333,Low
25,22.69230769,High
10,9.764705882,High
14,11.28571429,High
15,11.25,High
20,20,High
17,11,High
15,7.3,High
12,10.33333333,High
5,5.636363636,Low
12,11.33333333,High
50,44.72727273,High
11,9.285714286,High
5,6.714285714,Low
10,6.833333333,Low
10,9,Low
15,10.66666667,High
20,12.09090909,High
7,6.857142857,Low
30,26.5,High
